Age,Male,Female
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0.0008,0.001
42,0.0016,0.002
43,0.0024,0.003
44,0.0032,0.004
45,0.004,0.0051
46,0.0047,0.0061
47,0.0055,0.0071
48,0.0063,0.0081
49,0.0071,0.0091
50,0.0079,0.0101
51,0.014,0.0185
52,0.0209,0.0262
53,0.0302,0.0349
54,0.043,0.0449
55,0.0898,0.0853
56,0.1676,0.1535
57,0.2153,0.1923
58,0.2635,0.2291
59,0.3144,0.268
60,0.3821,0.3192
61,0.4579,0.3731
62,0.5935,0.4705
63,0.7153,0.5668
64,0.7764,0.623
65,0.8454,0.7172
66,0.9002,0.8006
67,0.9275,0.8414
68,0.9431,0.8658
69,0.9547,0.8857
70,0.9642,0.9046
71,0.9732,0.924
72,0.9791,0.9365
73,0.9823,0.9437
74,0.9847,0.9512
75,0.9868,0.9568
76,0.9889,0.9637
77,0.9906,0.9682
78,0.992,0.9727
79,0.9935,0.9765
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
