Age,Male EE,Male HA,Female EE,Female HA
15,73,73,74,74
16,72,72,73,73
17,71,71,72,72
18,70,70,71,71
19,69,69,70,70
20,68,68,69,69
21,67,67,68,68
22,66,66,67,67
23,65,65,66,66
24,64,64,65,65
25,63,63,64,64
26,62,62,63,63
27,61,61,62,62
28,60,60,61,61
29,59,59,60,60
30,58,58,59,59
31,57,57,58,58
32,56,56,57,57
33,55,55,56,56
34,54,54,55,55
35,53,53,54,54
36,52,52,53,53
37,51,51,52,52
38,50,50,51,51
39,49,49,50,50
40,48,48,49,49
41,47,47,48,48
42,46,46,47,47
43,45,45,46,46
44,44,44,45,45
45,43,43,44,44
46,42,42,43,43
47,41,41,42,42
48,40,40,41,41
49,39,39,40,40
50,38,38,39,39
51,37,37,38,38
52,36,36,37,37
53,35,35,36,36
54,34,34,35,35
55,33,33,34,34
56,32,32,33,33
57,31,31,32,32
58,30,30,31,31
59,29,29,30,30
60,28,28,29,29
61,27,27,28,28
62,26,26,27,27
63,25,25,26,26
64,24,24,25,25
65,23,23,24,24
66,22,22,23,23
67,21,21,22,22
68,20,20,21,21
69,19,19,20,20
70,18,18,19,19
71,17,17,18,18
72,16,16,17,17
73,15,15,16,16
74,14,14,15,15
75,13,13,14,14
76,12,12,13,13
77,11,11,12,12
78,10,10,11,11
79,9,9,10,10
80,8,8,9,9
81,7.666666667,7.666666667,8.666666667,8.666666667
82,7.333333333,7.333333333,8.333333333,8.333333333
83,7,7,8,8
84,6.666666667,6.666666667,7.666666667,7.666666667
85,6.333333333,6.333333333,7.333333333,7.333333333
86,6,6,7,7
87,5.666666667,5.666666667,6.666666667,6.666666667
88,5.333333333,5.333333333,6.333333333,6.333333333
89,5,5,6,6
90,4.666666667,4.666666667,5.666666667,5.666666667
91,4.333333333,4.333333333,5.333333333,5.333333333
92,4,4,5,5
93,3.666666667,3.666666667,4.666666667,4.666666667
94,3.333333333,3.333333333,4.333333333,4.333333333
95,3,3,4,4
96,2.666666667,2.666666667,3.666666667,3.666666667
97,2.333333333,2.333333333,3.333333333,3.333333333
98,2,2,3,3
99,1.666666667,1.666666667,2.666666667,2.666666667
100,1.333333333,1.333333333,2.333333333,2.333333333
101,1,1,2,2
102,0.666666667,0.666666667,1.666666667,1.666666667
103,0.333333333,0.333333333,1.333333333,1.333333333
104,2.9976E-15,2.9976E-15,1,1
105,0,0,0.666666667,0.666666667
106,0,0,0.333333333,0.333333333
107,0,0,2.10942E-15,2.10942E-15
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
