2016
Age,Male EE,Male HA,Female EE,Female HA,Male,Female
15,0.000148,0.000148,0.000103,0.000103,0.000148,0.000103
16,0.000157,0.000157,0.000111,0.000111,0.000157,0.000111
17,0.000166,0.000166,0.000119,0.000119,0.000166,0.000119
18,0.000174,0.000174,0.000121,0.000121,0.000174,0.000121
19,0.000183,0.000183,0.000119,0.000119,0.000183,0.000119
20,0.00019,0.00019,0.000116,0.000116,0.00019,0.000116
21,0.000203,0.000203,0.000113,0.000113,0.000203,0.000113
22,0.000215,0.000215,0.000114,0.000114,0.000215,0.000114
23,0.000233,0.000233,0.000119,0.000119,0.000233,0.000119
24,0.000251,0.000251,0.000126,0.000126,0.000251,0.000126
25,0.000275,0.000275,0.000134,0.000134,0.000275,0.000134
26,0.000314,0.000314,0.000147,0.000147,0.000314,0.000147
27,0.000327,0.000327,0.000153,0.000153,0.000327,0.000153
28,0.000336,0.000336,0.000162,0.000162,0.000336,0.000162
29,0.000353,0.000353,0.000171,0.000171,0.000353,0.000171
30,0.00038,0.00038,0.000193,0.000193,0.00038,0.000193
31,0.000427,0.000427,0.000239,0.000239,0.000427,0.000239
32,0.000481,0.000481,0.000273,0.000273,0.000481,0.000273
33,0.00054,0.00054,0.000298,0.000298,0.00054,0.000298
34,0.000601,0.000601,0.000319,0.000319,0.000601,0.000319
35,0.000662,0.000662,0.000337,0.000337,0.000662,0.000337
36,0.00072,0.00072,0.000354,0.000354,0.00072,0.000354
37,0.000774,0.000774,0.000369,0.000369,0.000774,0.000369
38,0.0008,0.0008,0.000386,0.000386,0.0008,0.000386
39,0.000821,0.000821,0.000406,0.000406,0.000821,0.000406
40,0.000841,0.000841,0.000442,0.000442,0.000841,0.000442
41,0.000863,0.00089,0.000484,0.000484,0.000863,0.000484
42,0.00089,0.000987,0.000533,0.000533,0.000891,0.000533
43,0.000922,0.001133,0.000586,0.000586,0.000925,0.000586
44,0.000961,0.001328,0.000644,0.000644,0.000968,0.000644
45,0.001005,0.001572,0.000682,0.000689,0.001018,0.000682
46,0.001044,0.001864,0.000719,0.000778,0.001066,0.00072
47,0.001085,0.002205,0.000755,0.000912,0.001121,0.000759
48,0.001128,0.002595,0.000817,0.00109,0.001181,0.000826
49,0.001172,0.003034,0.000883,0.001313,0.001248,0.000901
50,0.001217,0.003521,0.000985,0.00158,0.001321,0.001015
51,0.001262,0.003556,0.0011,0.001697,0.001376,0.001135
52,0.001309,0.003546,0.001271,0.001914,0.001462,0.001319
53,0.001401,0.003595,0.001468,0.002193,0.00161,0.001537
54,0.001503,0.003643,0.0017,0.002532,0.001779,0.001799
55,0.001671,0.003798,0.001969,0.002935,0.00211,0.002152
56,0.001883,0.004033,0.002287,0.003418,0.002565,0.00261
57,0.002132,0.004344,0.002577,0.003908,0.002968,0.00303
58,0.002424,0.004758,0.002817,0.004385,0.003451,0.003425
59,0.002677,0.005165,0.003081,0.004929,0.003918,0.003887
60,0.002959,0.005656,0.003365,0.005525,0.004478,0.004435
61,0.003369,0.006358,0.003668,0.006166,0.005263,0.005118
62,0.003704,0.007004,0.003986,0.006852,0.006048,0.005877
63,0.00418,0.007918,0.004314,0.007582,0.007134,0.006772
64,0.00454,0.008761,0.004648,0.008372,0.008067,0.007643
65,0.004892,0.009703,0.004983,0.009235,0.009141,0.008619
66,0.005398,0.011004,0.005314,0.01017,0.010623,0.009742
67,0.005731,0.012182,0.005636,0.011175,0.011866,0.010824
68,0.005858,0.01316,0.005945,0.012271,0.012896,0.011969
69,0.006143,0.014537,0.00624,0.013503,0.014297,0.013232
70,0.00621,0.015686,0.006517,0.014919,0.01544,0.014634
71,0.007026,0.017356,0.007108,0.016177,0.017114,0.0159
72,0.008658,0.019271,0.00829,0.017994,0.01905,0.017731
73,0.011106,0.021465,0.010064,0.019543,0.021276,0.019318
74,0.014369,0.023946,0.012429,0.02166,0.023797,0.021473
75,0.018448,0.027356,0.015385,0.023365,0.02724,0.023229
76,0.023343,0.03049,0.018932,0.025743,0.030416,0.02565
77,0.029054,0.034715,0.023071,0.029017,0.034671,0.028956
78,0.035581,0.039486,0.027801,0.031986,0.039466,0.031958
79,0.042924,0.044915,0.033122,0.035314,0.04491,0.035307
80,0.051083,0.051083,0.039034,0.039034,0.051083,0.039034
81,0.058516,0.058516,0.043204,0.043204,0.058516,0.043204
82,0.06691,0.06691,0.047896,0.047896,0.06691,0.047896
83,0.074584,0.074584,0.053181,0.053181,0.074584,0.053181
84,0.084893,0.084893,0.059146,0.059146,0.084893,0.059146
85,0.094233,0.094233,0.067435,0.067435,0.094233,0.067435
86,0.104477,0.104477,0.07697,0.07697,0.104477,0.07697
87,0.118458,0.118458,0.087853,0.087853,0.118458,0.087853
88,0.134192,0.134192,0.097854,0.097854,0.134192,0.097854
89,0.148298,0.148298,0.111198,0.111198,0.148298,0.111198
90,0.167257,0.167257,0.12289,0.12289,0.167257,0.12289
91,0.182177,0.182177,0.134949,0.134949,0.182177,0.134949
92,0.202142,0.202142,0.147094,0.147094,0.202142,0.147094
93,0.21806,0.21806,0.162763,0.162763,0.21806,0.162763
94,0.233954,0.233954,0.174573,0.174573,0.233954,0.174573
95,0.255453,0.255453,0.185756,0.185756,0.255453,0.185756
96,0.271129,0.271129,0.196137,0.196137,0.271129,0.196137
97,0.286358,0.286358,0.210344,0.210344,0.286358,0.210344
98,0.308123,0.308123,0.218852,0.218852,0.308123,0.218852
99,0.322695,0.322695,0.226123,0.226123,0.322695,0.226123
100,0.336718,0.336718,0.232065,0.232065,0.336718,0.232065
101,0.358628,0.358628,0.244834,0.244834,0.358628,0.244834
102,0.371685,0.371685,0.254498,0.254498,0.371685,0.254498
103,0.38304,0.38304,0.266044,0.266044,0.38304,0.266044
104,0.392003,0.392003,0.279055,0.279055,0.392003,0.279055
105,0.397886,0.397886,0.293116,0.293116,0.397886,0.293116
106,0.4,0.4,0.307811,0.307811,0.4,0.307811
107,0.4,0.4,0.322725,0.322725,0.4,0.322725
108,0.4,0.4,0.337441,0.337441,0.4,0.337441
109,0.4,0.4,0.351544,0.351544,0.4,0.351544
110,0.4,0.4,0.364617,0.364617,0.4,0.364617
111,0.4,0.4,0.376246,0.376246,0.4,0.376246
112,0.4,0.4,0.386015,0.386015,0.4,0.386015
113,0.4,0.4,0.393507,0.393507,0.4,0.393507
114,0.4,0.4,0.398308,0.398308,0.4,0.398308
115,0.4,0.4,0.4,0.4,0.4,0.4
116,0.4,0.4,0.4,0.4,0.4,0.4
117,0.4,0.4,0.4,0.4,0.4,0.4
118,0.4,0.4,0.4,0.4,0.4,0.4
119,0.4,0.4,0.4,0.4,0.4,0.4
120,1,1,1,1,1,1
